Question,Even_Further_Improved_Cleaned_Answer
请问可能是什么原因造成的,什么状态栏，你那个是鼠标的圈还是;再次重启也一样吗;鼠标的圈;对，重启了几次;wifi不能连具体指的是什么症状;状态栏点不动，点开了也没有任何WiFi选项，跟没插网卡一样，只有个飞行模式;那你的壁纸是本来就是黑的吗;壁纸没问题，就是状态栏这一行;又重启了几次，还用电脑管家扫了，再重启不知道为啥就正常了;[图片];看看设备管理器
请问it侠可以帮忙读硬盘吗？硬盘坏了想恢复原来的数据但是售后只有一个硬盘盒读取不出来，让我可以多试几个硬盘盒ಥ_ಥ,[图片];绿了之后重启;显示这个是啥情况;bios里可能要设置一下;（也可以不用管）;哥们直接continue;了;暂时没爆炸;@岑樓;@岑樓;可以晚上来工作室试试;@[IT侠]及时备份数据，善用搜索引擎;@[IT侠]及时备份数据，善用搜索引擎;谢谢！暂时找到别的地方先尝试一下，后面不行的话我再来求帮助～;摄像头又寄了，下周去push售后了;[表情];开机显示说因为页面显示问题，创建了一个临时页面文件，这种怎么做才能回到原样啊？这几天回回开机都显示这个，页面文件排列也和以前不一样;想问一问笔记本电脑连接电源，但是充电只能充到51%是什么原因;win还是mac;win10，惠普;51%后显示继续充电还是断开了;显示已接通电源;看看电源计划之类的东西;[图片]有没有可能像这个一样;我好像没这个选项[表情];现在IT侠办公室有人吗，试图来还东西;（探头探脑）;现在可能没人，建议晚上来;[图片]
请问这个点办公室还有人吗？,有;想带螺丝松了的支架来紧紧
请问是大活412吗？,是的;谢谢;麻烦问一下电脑卡在这个界面好长时间，然后一会就黑屏了是怎么回事呢，反复开机好几次都这样;[图片];驱动问题？能进安全模式吗？;似乎不可以[表情]，他现在显示未发现nvidia控制面板;刚才捣鼓了一下，他那个检测启动问题没检测出来什么，但是输完密码之后就一直卡着[表情];哦个人账号也有吗，我之前都找到;[图片];直接重装了;悲伤的故事;我觉得可以直接说不用开;@C8H17OH;*没找到;电脑绑定的账户有吧;微软账户是电脑里登录的吗;我当时可能是没找到;myaccount.microsoft.com;？;我是跟着它引导输的网址，里面有;从哪里下的密钥从哪里找吧
请问装另一个系统是一定要关掉secure boot吗？,[表情]晕;2023-06-11;21:05:57;【小白】谁见幽人独往来(1795642156);;好的谢谢;这个我好像确定是（
[图片]请问电脑一直是插电使用的，但是这两天老是充不到100%是什么情况呢。。。昨天只有97%，今天96%,全靠这台暗影精灵！我bios的安全里没找到Secure;boot哭;@谁见幽人独往来;傻逼hp;@❧鲸鱼丶飞鸟乀♡;@❧鲸鱼丶飞鸟乀♡;这是常见的正常的充电策略，95以上不会充电;好的;但是前几天又是100[表情]、;如果你在100的时候充电，就会在很长一段时间保持在100;掉到95后也会充到100;有啥比较好的旧电脑估价方法;毕业该换电脑了;闲鱼找同款;单看闲鱼没经验也不太好估;贩子传家宝价格都不准;不如搜搜淘宝二手价再乘70-90%
请问ubuntu上的调整卷大小和win里的压缩卷是相同的功能吗,
请问罗技K780键盘unify连接显示[图片]该怎么办[表情]，尝试过蓝牙连接，显示连接失败需要重新连接，网上也搜不到相关解决方法,
请问之前可以在mac上正常读写的u盘，在接入过windows电脑之后再次插入mac变成lnk后缀，无法读写，要怎么解决呀[表情]有没有好心人教教,我怎么觉得你这个症状是打印店病毒啊;虽然这么叫不太对劲，我给你推一下我们之前的推送吧;！昨天确实在大唐用过;确实;妈呀还有救吗;里面很多重要的东西;有;好的好的;我研究一下这个推文;[表情]谢谢;↑上面这篇推送，你看一眼吧，我觉得你的那个win系统的电脑估计有概率也感染了，记得确认一下;那个win的就是大唐的orz;我自己的是mac;谢谢谢谢;那问题不太大，这个病毒不影响Mac，u盘按里面的步骤做一遍或者在itxia.club挂一单都行;好的！如果我自己解决不了就再来it侠麻烦一下[表情];救回来了！！感谢！;有无同学在珠江路修过音响;[图片];求助[表情]电脑这样自动关机重启好几次了;先擦擦内存试试;那得拆电脑啊[表情]电脑小白不太敢;看看群公告吧约一单;[图片];[图片]
请问，固态硬盘,宏碁GM7000、爱国者P7000D选哪个好;[图片][图片][图片][图片];gm7000吧;P7000D装了散热马甲会不会导致后盖合不上呢，设备是机械革命蛟龙16pro[表情];好的吧，问了客户，笔记本不适合散热马甲;那我还是gm7000吧;有缓的是不是发热量会大一点;笔记本啊;gm7000可能会比较热;我也觉得;[表情]gm7000不是号称石墨烯散热吗;那还有推荐的固态吗;如果能抢到479的gm7也不错;想买好一些的，gm7000有独立缓存;笔记本好像大部分都不支持双面颗粒，更别说散热马甲了;看固态厚度，一般是2.2mm左右？;好的;你问问笔记本的客服，能支持多厚的;再看看你要买的固态的厚度;好的谢谢，我去问问;客服的回复:;固态硬盘类型NVME;M.2;2280（这种SSD硬盘的2280，是指卡式SSD硬盘的PCB板的尺寸，即长80mm，宽为22mm。）;说了等于没说;是这样;[表情]客服:废话的艺术;问客服是单面颗粒还是双面颗粒;看错了，我还以为是厚度[表情];现在4060比较不错的笔记本有哪些;[表情];预算;来问肯定是看过这个的;预算不限;8000内吧;暗影精灵9;@重装不如重买;蛟龙16pro大白龙7999;16+1TB+4060，暗影精灵9要8499
请问拼多多买固态靠谱吗，京东自营没货[表情][表情][图片],可买;会有5年质保吗;[图片];写着有[表情];@❧鲸鱼丶飞鸟乀♡;@❧鲸鱼丶飞鸟乀♡;注意手机电量（x）;[表情][表情];最终还是选择了爱国者p7000z固态[表情][图片];要是追求性价比的话就选这个;要是做系统盘追求稳定就用那几个大牌子的3.0有缓
请问为什么显示器通过hdmi连到显卡上，外放没声音呢,连接蓝牙耳机就有声音;之前这个显示器和hmdi线连在笔记本上，是可以正常外放的;今晚已经重装过显卡驱动，还是没效果;2023-06-14;2:55:10;【小白】Fibonacci(1363650301);;没事了，，，是我傻了，显示器本身没有音箱，是笔记本的声音[表情];求助[表情][表情];笔记本自带1T固态硬盘(给C盘分了99G)，剩下的装游戏装满了
因此最近买了一块新的2T固态硬盘，请问有必要给固态硬盘分区吗？分区有什么好处？,如果以后重装系统，会不会把不装系统盘的2T固态也给格式化了;分;重装系统只需要格式化你用来当系统盘的硬盘;重装不影响新2T盘是吧，明白了[表情][表情][表情];@谁见幽人独往来;分盘有什么好处呢，除了分类文件;无，那是机械硬盘时代的遗产;好的谢谢，那我就不分了;还有个问题，我把游戏下新装的2T盘，以后换电脑，拆下2T的换到新电脑，能直接玩吗;有些行有些不行;一般需要在steam或者uplay或者其他启动器里面重新配置游戏库位置;比如steam的你可以直接指定游戏库位置;steam也在这个盘呢;跟steam装在哪没关系;换到新电脑，整体文件地址都不变;那还是不行;[表情][表情]好的吧;好像确实不可以，因为它会在程序盘也存一些东西吧;不是很懂;[图片];新电脑装的steam添加一下库文件夹就行;好的，谢谢;求助，安装玩固态后出现这些页面怎么办;AliPaladin64;[图片];安装固态后没下什么东西，回来后就开始打游戏了;应该先找固态的客服
请问微信直播的视频可以扫码在手机微信中打开，但是视频的链接无论是放到手机浏览器还是电脑上都无法打开，不知道怎么解决,微信直播限定平台吧;只能在微信上看的;@❧鲸鱼丶飞鸟乀♡;@❧鲸鱼丶飞鸟乀♡;Windows10之后重装系统不会格式化系统盘，系统盘里的非系统文件都会正常保留着，甚至原来的系统文件也会不会删（Windows.old文件夹）;（会移动到Windows.old文件夹里）;2023-06-14;20:21:14;【大佬】Iori<hey_2_ke@outlook.com>;nt6;好的谢谢，但我是win11[表情];应该差不多;“之后”;电脑报错的驱动异常可能不是固态的问题。。。[图片][图片][图片];电脑莫名其妙多出了这个什么Alibaba的东西;你考虑一下有没有装什么和阿里巴巴集团有关系的软件，比如阿里旺旺、钉钉等;很早就装了优酷[表情]今天安装固态后就出了这个问题;中午玩的时候还没事，下午安了固态就出现了;问了固态客户，客服表示不懂;我现在卸载了优酷，打算把所有Alibaba的文件都删除;@❧鲸鱼丶飞鸟乀♡;@❧鲸鱼丶飞鸟乀♡;这玩意注入成驱动，然后就可以在你的电脑为所欲为了;这是我到现在对B站还比较满意的一个点（
请问一下，有什么可以让智能插座连上校园网的办法吗,自建路由器（即答）;您都搞智能插座了;还不加个路由器;校园网可以接路由器吗;[表情];why;not;我校对路由器出奇友好;放心了;谢谢您;群里有没有熟悉spss或者数据分析的小伙伴呀，;有一个关于相关性分析的问题求助，请你喝奶茶呜呜呜（不是找论文代写或者代分析，只是一个疑问，不涉及学术伦理问题，身边实在没有人会所以冒昧来求助呜呜呜）;不是骗子[表情][表情][表情]我是外院的，可以出示学生证[表情][表情][表情];什么问题;基础性的我可以看看;@萧图voyager;呜呜呜好滴！应该就是非常基础的问题;我私聊你;谢谢uu！！！;[图片]想问一下，初次打开游戏时出现这个选项，怎么知道应该选哪个呢;都试试（;先试11再12;大概率11更流畅一些;[图片];我是win11，还是用directX11吧;[图片];不是这个;@❧鲸鱼丶飞鸟乀♡;这个文章写的时候可能还没有win11（;12很底层;很吃开发人员;所以12不一定会表现更好;好的吧谢谢;2023-06-18;0:01:58;【小白】补补粽子(310277817);
请问笔记本待机cpu温度7、80度正常吗,2023-06-18;0:02:09;【小白】补补粽子(310277817);;玩游戏键盘那里都烫手;2023-06-18;0:02:15;【小白】补补粽子(310277817);;[图片];2023-06-18;0:02:28;【小白】补补粽子(310277817);;是该去清灰了吗;2023-06-18;0:22:26;【小白】好运来Pro(2802069537);;我不玩游戏电脑都烫[表情][表情];2023-06-18;0:22:52;【小白】אדני(506169680);;+1;2023-06-18;0:23:02;【小白】אדני(506169680);;不过平板应该不能清灰吧（;2023-06-18;0:29:37;【小白】【IT侠】一款吉祥物(2385349487);;@补补粽子;发热也可能有其他原因，不过可以预约一单清灰看看;2023-06-18;0:34:08;【小白】补补粽子(310277817);;ok;求问一下，电脑运行游戏的时候屏幕闪烁，是怎么回事呢？;效果是这样;[表情]有点可怕;我开hdr会这样;2023-06-19;0:20:31;风露清愁(352922898);
请问uu们，旧电脑把硬盘拆出来之后，剩下的要怎么处理呀[表情],2023-06-19;0:20:42;风露清愁(352922898);;直接扔掉感觉怪可惜的[表情];2023-06-19;0:21:37;[IT侠]及时备份数据，善用搜索引擎(3387257974);;闲鱼/南小闲卖掉;2023-06-19;0:22:30;C8H17OH(1143264710);;我是学生，送我（不是;2023-06-19;0:22:45;[IT侠]重启解决50%问题(621029858);;@一期一会;@一期一会;我超，矿;2023-06-19;0:22:54;[IT侠]重启解决50%问题(621029858);;原来你也玩岩深（bushi;2023-06-19;0:23:09;[IT侠]重启解决50%问题(621029858);;@一期一会;@一期一会;重启或者更新显卡驱动试试？;2023-06-19;0:23:19;[IT侠]重启解决50%问题(621029858);;*指重启电脑;2023-06-19;0:23:26;风露清愁(352922898);;闲鱼[表情]会不会威胁到信息安全[表情];2023-06-19;0:23:32;风露清愁(352922898);;啥也不懂[表情];2023-06-19;0:23:43;风露清愁(352922898);;这玩意真有人收？;2023-06-19;0:23:51;[IT侠]重启解决50%问题(621029858);;格掉其实;2023-06-19;0:23:56;[IT侠]重启解决50%问题(621029858);;就差不多了;2023-06-19;0:24:15;[IT侠]重启解决50%问题(621029858);;我记得好像还可以覆写乱码还是啥;2023-06-19;0:24:20;[IT侠]重启解决50%问题(621029858);;比格式化更保险一点;2023-06-19;0:24:21;C8H17OH(1143264710);;或者买个硬盘盒当移动硬盘用;2023-06-19;0:24:39;[IT侠]及时备份数据，善用搜索引擎(3387257974);;@风露清愁;你不是硬盘拆出来了吗@风露清愁;2023-06-19;0:24:40;C8H17OH(1143264710);;我个人确实不太敢卖旧手机之类的（）;2023-06-19;0:25:25;[IT侠]重启解决50%问题(621029858);;旧电脑可以挂闲鱼啊;2023-06-19;0:25:36;[IT侠]重启解决50%问题(621029858);;我还以为你是要卖旧硬盘（;2023-06-19;0:26:03;[IT侠]及时备份数据，善用搜索引擎(3387257974);;一般只要价格够低，会有垃圾佬收的;2023-06-19;0:27:21;一期一会(1252929675);;@[IT侠]重启解决50%问题;2023-06-19;0:27:44;一期一会(1252929675);;@[IT侠]重启解决50%问题;显卡驱动已经是最新的了，重启了一下，好了一些;2023-06-19;0:28:04;一期一会(1252929675);;但还是偶尔会闪，我过几天带出去修一下，谢谢佬[表情];2023-06-19;0:36:28;风露清愁(352922898);;好滴好滴谢谢大家~;2023-06-19;0:36:59;风露清愁(352922898);;所以有人要吗[表情];2023-06-19;0:37:28;风露清愁(352922898);;咱们群里[表情];2023-06-19;0:38:15;系统消息(10000);;管理员[IT侠]及时备份数据，善用搜索引擎撤回了一条成员消息;2023-06-19;0:38:25;系统消息(10000);;风露清愁撤回了一条消息，你猜猜撤回了什么。;2023-06-19;0:39:52;[IT侠]及时备份数据，善用搜索引擎(3387257974);;不提倡在本群进行二手交易;2023-06-19;0:40:20;风露清愁(352922898);;那我撤回[表情];2023-06-19;0:40:42;风露清愁(352922898);;要不你帮我撤下，超两分钟了[表情]
